state,capital,region,population_2020
Johor,Johor Bahru,South,4009670
Kedah,Alor Setar,North,2131427
Kelantan,Kota Bharu,East Coast,1792501
Melaka,Melaka City,South,998428
Negeri Sembilan,Seremban,South,1199974
Pahang,Kuantan,East Coast,1592931
Perak,Ipoh,North,2496041
Perlis,Kangar,North,284885
Pulau Pinang,George Town,North,1740405
Sabah,Kota Kinabalu,Borneo,3418785
Sarawak,Kuching,Borneo,2453677
Selangor,Shah Alam,Central,6994423
Terengganu,Kuala Terengganu,East Coast,1149440
Kuala Lumpur,Kuala Lumpur,Central,1982112
Labuan,Victoria,Borneo,95120
Putrajaya,Putrajaya,Central,109202
